X,Y,UNITDESC,ARTERIALCLASSCD,SIGNAL_TYPE_x,collision_count,streetlights,streetlights_height_avg,related_street_num,PVMTCONDINDX1_mean,SLOPE_PCT_mean,TRANCLASS_mean,SPEEDLIMIT_mean,SIGNAL_TYPE_y,COMPTYPE,CONDITION,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
-122.337591982,47.6112073730001,4TH AVE AND PINE ST,1.0,CITY,106,0,0.0,4.0,83.0,1.5,1.25,25.0,PRE,74.0,POOR,CITY,Y,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.280573072,47.529954726,M L KING JR ER WAY S AND S ELMGROVE ST,1.0,HALFPED,1,1,33.0,1.0,0.0,1.0,0.0,20.0,SEMI,74.0,GOOD,HALFPED,Y,N,3.0,4.0,N,N,N,N,N,N,0.0
-122.342145359,47.661385297,STONE WAY N AND N 45TH ST,2.0,CITY,24,3,34.666666666666664,4.0,66.5,2.0,2.75,25.0,FULL,74.0,POOR,CITY,N,Y,2.0,8.0,N,Y,N,N,N,N,0.0
-122.288185948,47.5640950380001,RAINIER AVE S AND S GENESEE S ST,1.0,CITY,39,3,35.333333333333336,2.0,74.5,0.0,2.0,25.0,FULL,74.0,POOR,CITY,N,N,6.0,8.0,N,Y,N,N,N,N,0.0
-122.330025031,47.613001409,PIKE ST AND TERRY AVE,1.0,NONE,28,0,0.0,3.0,84.0,8.666666666666666,1.0,23.33333333333333,FULL,74.0, ,NONE,N,N,3.0,2.0,N,N,N,Y,N,N,0.0
-122.38759277,47.686802765,24TH AVE NW AND NW 80TH ST,2.0,CITY,26,3,45.0,4.0,44.0,1.5,1.5,25.0,PRE,74.0,POOR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.269985986,47.5336613850001,RAINIER AVE S AND S HOLDEN ST,1.0,CITY,28,3,37.0,3.0,50.0,2.6666666666666665,1.3333333333333333,23.33333333333333,SEMI,74.0,FAIR,CITY,Y,N,2.0,2.0,N,N,N,N,N,N,0.0
-122.328733505,47.6048763680001,6TH AVE AND CHERRY ST,1.0,CITY,128,2,0.0,4.0,48.0,6.5,1.5,25.0,PRE,74.0,FAIR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.354024576,47.6144334260001,ALASKAN WAY AND CLAY ST,1.0,CITY,8,2,35.0,3.0,47.333333333333336,1.3333333333333333,2.0,23.33333333333333,SEMI,74.0,POOR,CITY,N,N,10.0,12.0,N,N,N,N,N,N,25.0
-122.317745071,47.7031038270001,ROOSEVELT WAY NE AND NE 103RD ST,1.0,NONE,3,1,35.0,4.0,81.75,5.0,1.5,22.5,SEMI,74.0, ,NONE,Y,N,4.0,0.0,N,N,N,N,N,N,0.0
-122.298341527,47.661087788,MONTLAKE BLVD NE AND NE 45TH ST,1.0,CITY,31,1,35.0,3.0,72.33333333333333,1.0,2.6666666666666665,28.33333333333333,SEMI,74.0,POOR,CITY,N,N,2.0,4.0,N,Y,N,N,N,N,0.0
-122.269990421,47.5315824090001,RAINIER AVE S AND S KENYON ST,1.0,HALFPED,63,3,42.66666666666666,4.0,39.25,1.75,1.0,22.5,SEMI,74.0,FAIR,HALFPED,Y,N,2.0,2.0,N,N,N,N,N,N,0.0
-122.283474661,47.66427508,41ST AVE NE AND SAND POINT N WAY NE,1.0,CITY,3,1,50.0,1.0,10.0,4.0,0.0,20.0,SEMI,74.0,POOR,CITY,N,N,2.0,8.0,N,N,N,N,N,N,0.0
-122.31665566,47.6583559540001,11TH AVE NE AND NE 42ND ST,1.0,CITY,35,4,8.75,4.0,52.5,3.0,1.0,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,0.0
-122.36296315,47.5537217610001,DELRIDGE WAY SW AND SW BRANDON ST,1.0,CITY,14,4,43.75,4.0,36.25,1.75,1.5,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,2.0
-122.308959487,47.601678329,18TH AVE AND E YESLER WAY,2.0,CITY,12,3,34.666666666666664,3.0,39.0,3.333333333333333,2.0,23.33333333333333,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,Y,N,N,0.0
-122.325976674,47.579809325,6TH AVE S AND S LANDER ST,2.0,CITY,61,0,0.0,4.0,46.25,0.0,1.5,25.0,SEMI,74.0,GOOD,CITY,N,N,8.0,8.0,N,N,N,N,N,N,0.0
-122.366001731,47.686936358,8TH AVE NW AND NW 80TH ST,2.0,CITY,65,5,231.8,4.0,69.75,2.5,1.5,25.0,PRE,74.0,POOR,CITY,N,N,0.0,16.0,N,N,N,N,N,N,0.0
-122.342326604,47.627138383,DEXTER AVE N AND ALOHA ST,2.0,CITY,21,2,50.0,4.0,82.25,4.75,1.5,22.5,SEMI,74.0,POOR,CITY,N,N,8.0,16.0,N,N,N,N,N,N,2.0
-122.380062909,47.5610821130001,38TH AVE SW AND SW ALASKA ST,2.0,FS,15,1,35.0,5.0,42.4,3.0,1.2,22.0,SEMI,74.0,FAIR,FS,N,N,0.0,0.0,N,N,N,N,N,N,0.0
-122.342401853,47.618550165,DENNY WAY AND DEXTER AVE,1.0,CITY,119,0,0.0,3.0,45.66666666666666,3.0,2.6666666666666665,25.0,SEMI,74.0,FAIR,CITY,N,N,2.0,8.0,N,Y,N,N,N,N,4.0
-122.31785221,47.7085609870001,ROOSEVELT WAY NE AND NE NORTHGATE WAY,1.0,CITY,54,0,0.0,4.0,67.75,2.5,2.5,25.0,FULL,74.0,FAIR,CITY,N,N,8.0,8.0,N,Y,N,N,N,N,0.0
-122.334195453,47.5903121650001,1ST AVE S AND S ATLANTIC ST,1.0,CITY,97,0,0.0,3.0,70.66666666666667,0.3333333333333333,1.3333333333333333,26.666666666666668,FULL,74.0,FAIR,CITY,N,N,8.0,16.0,N,Y,N,N,N,N,0.0
-122.354035334,47.5173538660001,15TH AVE SW AND SW ROXBURY ST,1.0,CITY,37,1,35.0,3.0,81.66666666666667,0.6666666666666666,2.6666666666666665,23.33333333333333,SEMI,74.0,GOOD,CITY,N,N,4.0,16.0,N,Y,N,N,N,N,0.0
-122.355558252,47.728740976,GREENWOOD AVE N AND N 137TH ST,1.0,NONE,10,1,55.0,4.0,71.0,3.5,1.0,25.0,PRE,74.0, ,NONE,Y,N,2.0,0.0,N,N,N,N,N,N,0.0
-122.333532908,47.6752648280001,EAST GREEN LAKE WAY N AND N 64TH ST,2.0,CITY,6,1,40.0,3.0,38.0,3.0,0.0,25.0,FULL,74.0, ,CITY,N,N,8.0,0.0,Y,N,N,N,N,N,0.0
-122.33863455,47.6257957700001,WESTLAKE AVE N AND VALLEY ST,1.0,CITY,86,0,0.0,3.0,83.66666666666667,0.3333333333333333,1.6666666666666667,25.0,SEMI,74.0,FAIR,CITY,N,N,8.0,16.0,N,N,N,N,N,N,0.0
-122.312724106,47.73212583,15TH AVE NE AND NE 143RD ST,1.0,CITY,30,1,35.0,4.0,55.25,1.5,2.0,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,0.0
-122.312670665,47.72122255,15TH AVE NE AND NE 127TH ST,1.0,HALFPED,16,1,35.0,3.0,62.66666666666666,2.333333333333333,1.3333333333333333,23.33333333333333,SEMI,74.0,GOOD,HALFPED,Y,N,2.0,2.0,N,N,N,N,N,N,0.0
-122.335975794,47.607763177,3RD AVE AND UNIVERSITY ST,1.0,CITY,38,0,0.0,4.0,55.75,5.0,2.0,25.0,PRE,74.0,FAIR,CITY,N,N,0.0,16.0,N,N,N,N,N,N,0.0
-122.338197016,47.6068350040001,1ST AVE AND UNIVERSITY ST,2.0,CITY,40,3,10.0,3.0,52.0,5.333333333333333,1.6666666666666667,25.0,PRE,74.0,FAIR,CITY,N,N,0.0,12.0,N,N,N,N,N,N,0.0
-122.334671527,47.6063373540001,3RD AVE AND SPRING ST,1.0,CITY,69,0,0.0,4.0,61.0,7.0,2.0,25.0,PRE,74.0,GOOD,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.316334518,47.6649276730001,11TH AVE NE AND NE 50TH ST,1.0,CITY,67,3,33.0,4.0,67.0,2.5,2.5,25.0,PRE,74.0,GOOD,CITY,N,N,0.0,8.0,N,Y,N,N,N,N,0.0
-122.337085272,47.5374015790001,2ND AVE SW AND WEST MARGINAL WAY SW,1.0,CITY,31,1,33.0,3.0,54.66666666666666,0.0,2.0,25.0,SEMI,74.0,FAIR,CITY,N,N,2.0,2.0,N,N,N,N,N,N,0.0
-122.27700922,47.548945433,RAINIER AVE S AND S KENNY ST,1.0,HALFPED,12,1,55.0,4.0,53.25,2.5,1.0,22.5,SEMI,74.0,POOR,HALFPED,N,N,2.0,4.0,N,N,N,N,N,N,0.0
-122.334194505,47.592395717,1ST AVE S AND S ROYAL BROUGHAM WAY,1.0,CITY,46,0,0.0,4.0,77.25,0.0,2.25,25.0,FULL,74.0,FAIR,CITY,N,N,8.0,16.0,N,Y,N,Y,N,N,0.0
-122.313407704,47.5716290170001,15TH AVE S AND S SPOKANE ST,2.0,CITY,49,4,38.75,4.0,64.5,7.75,1.5,25.0,SEMI,74.0,GOOD,CITY,N,N,8.0,8.0,N,N,N,Y,N,N,1.0
-122.358478025,47.618617769,ELLIOTT AVE AND W DENNY WAY,1.0,MIDXWALK,4,0,0.0,1.0,61.0,0.0,2.0,25.0,SEMI,74.0,POOR,MIDXWALK,Y,N,2.0,2.0,N,N,N,N,N,N,0.0
-122.329187044,47.6036975160001,5TH AVE AND JAMES ST,1.0,CITY,47,4,0.0,4.0,39.75,9.0,2.5,25.0,SEMI,74.0,FAIR,CITY,N,N,0.0,16.0,N,Y,N,N,N,N,0.0
-122.317823156,47.601695164,BOREN AVE AND E YESLER WAY,1.0,CITY,62,2,35.0,3.0,82.66666666666667,7.333333333333333,3.0,25.0,SEMI,74.0,POOR,CITY,N,N,0.0,16.0,N,Y,N,N,N,N,1.0
-122.352601728,47.6905870730001,DAYTON AVE N AND N 85TH ST,1.0,CITY,31,2,42.5,4.0,69.75,4.0,1.0,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,3.0
-122.317552673,47.6867321280001,ROOSEVELT WAY NE AND NE 80TH ST,1.0,CITY,64,3,45.0,4.0,70.75,2.5,1.75,25.0,PRE,74.0,POOR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.386760648,47.5756262510001,CALIFORNIA AVE SW AND SW HANFORD ST,2.0,CITY,19,3,50.0,4.0,62.75,4.25,1.75,23.75,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,2.0
-122.342192706,47.613166832,3RD AVE AND LENORA ST,2.0,CITY,37,0,0.0,4.0,62.75,2.5,1.0,25.0,PRE,74.0,POOR,CITY,N,N,0.0,16.0,N,N,N,N,N,N,0.0
-122.392755788,47.526783364,FAUNTLEROY WAY SW AND SW CLOVERDALE ST,2.0,HALFPED,9,2,47.5,3.0,69.66666666666667,5.0,1.3333333333333333,23.33333333333333,SEMI,74.0,POOR,HALFPED,Y,N,2.0,4.0,N,N,N,N,N,N,1.0
-122.314968108,47.523042182,14TH AVE S AND S HENDERSON ST,1.0,CITY,33,3,53.333333333333336,4.0,49.75,2.75,1.5,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,16.0,N,N,N,N,N,N,0.0
-122.325886812,47.643190643,EASTLAKE AVE E AND E ROANOKE ST,1.0,CITY,12,4,43.25,4.0,14.0,6.75,1.0,22.5,SEMI,74.0,POOR,CITY,N,N,8.0,8.0,N,N,N,Y,N,N,0.0
-122.331146082,47.605839163,5TH AVE AND MARION ST,2.0,CITY,46,0,0.0,4.0,78.5,8.0,2.5,25.0,PRE,74.0,FAIR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.317802129,47.6575142250001,ROOSEVELT WAY NE AND NE 42ND S ST,1.0,CITY,28,2,35.0,2.0,87.0,4.0,2.0,25.0,SEMI,74.0,POOR,CITY,N,N,2.0,8.0,N,N,N,N,N,N,0.0
-122.320748741,47.6052268180001,BROADWAY AND TERRACE ST,2.0,NONE,11,2,44.5,3.0,66.66666666666667,2.6666666666666665,2.0,23.33333333333333,SEMI,74.0, ,NONE,N,N,4.0,0.0,N,N,N,N,N,N,1.0
-122.276940936,47.5261190470001,RENTON AVE S AND S CLOVERDALE ST,2.0,CITY,74,2,40.0,4.0,59.0,2.5,1.5,25.0,SEMI,74.0,FAIR,CITY,N,N,4.0,8.0,N,N,N,N,N,N,0.0
-122.373610837,47.6555136640001,13TH AVE W AND W NICKERSON ST,1.0,NONE,24,0,0.0,4.0,71.0,6.5,0.5,22.5,SEMI,74.0,GOOD,NONE,N,Y,8.0,8.0,N,N,N,Y,Y,N,0.0
-122.320942389,47.624269036,BROADWAY E AND E MERCER ST,2.0,CITY,23,4,31.25,4.0,35.0,1.75,1.0,22.5,PRE,74.0,POOR,CITY,N,N,2.0,16.0,N,N,N,N,N,N,0.0
-122.381188047,47.6542298780001,FISHERMAN TERM DR AND W EMERSON PL,1.0,CITY,15,2,35.0,2.0,65.0,0.5,3.0,25.0,SEMI,74.0,FAIR,CITY,N,N,2.0,6.0,N,Y,N,Y,N,N,0.0
-122.296473591,47.5389639100001,BEACON WR AVE S AND S MYRTLE ST,1.0,CITY,19,1,65.0,2.0,59.0,1.0,3.0,25.0,PRE,74.0,POOR,CITY,N,N,0.0,24.0,N,N,N,N,N,N,10.0
-122.344564971,47.6941856700001,AURORA AVE N AND N 90TH ST,1.0,CITY,94,2,47.5,4.0,39.75,3.25,1.0,26.25,SEMI,74.0,FAIR,CITY,N,N,4.0,16.0,N,Y,N,N,Y,N,16.0
-122.387584729,47.675948498,24TH AVE NW AND NW 65TH ST,2.0,CITY,46,1,50.0,4.0,57.25,3.0,1.5,25.0,PRE,74.0,POOR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.382129997,47.668675799,20TH AVE NW AND NW MARKET ST,2.0,CITY,41,1,999.0,4.0,25.5,2.0,1.0,25.0,PRE,74.0,POOR,CITY,N,N,0.0,16.0,N,N,N,N,N,N,0.0
-122.303328529,47.575082976,23RD AVE S AND S HANFORD ST,2.0,CITY,7,4,42.5,4.0,52.75,4.0,0.0,22.5,SEMI,74.0,POOR,CITY,N,N,4.0,8.0,N,N,N,N,N,N,0.0
-122.355303623,47.6818051600001,GREENWOOD AVE N AND N 73RD ST,2.0,HALFPED,13,4,46.25,4.0,67.0,3.0,1.5,22.5,SEMI,74.0,POOR,HALFPED,Y,N,2.0,4.0,N,N,N,N,N,N,0.0
-122.342612495,47.6110682240001,1ST AVE AND VIRGINIA ST,2.0,CITY,57,2,0.0,4.0,58.25,6.25,2.5,25.0,PRE,74.0,POOR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.313511318,47.5635038790001,15TH AVE S AND S OREGON ST,2.0,CITY,10,4,43.75,4.0,75.5,2.25,1.5,22.5,SEMI,74.0,FAIR,CITY,N,N,8.0,10.0,N,N,N,N,N,N,0.0
-122.316965104,47.600852859,12TH AVE S AND BOREN AVE S,1.0,CITY,43,4,19.25,4.0,67.5,4.5,3.0,25.0,PRE,74.0,POOR,CITY,N,N,0.0,8.0,N,Y,N,N,N,N,0.0
-122.320744896,47.604530692,BOREN AVE AND BROADWAY,1.0,CITY,38,2,37.5,4.0,85.75,4.25,2.25,25.0,SEMI,74.0,POOR,CITY,N,N,4.0,8.0,Y,N,N,Y,N,N,2.0
-122.269983179,47.526170822,RAINIER AVE S AND S CLOVERDALE ST,1.0,CITY,74,1,60.0,3.0,47.333333333333336,1.0,1.3333333333333333,25.0,SEMI,74.0,FAIR,CITY,N,N,8.0,8.0,N,Y,N,N,N,N,0.0
-122.314529837,47.571624178,S COLUMBIAN WAY AND S SPOKANE ST,1.0,CITY,99,1,40.0,4.0,55.0,5.75,1.5,23.75,SEMI,74.0,GOOD,CITY,N,N,2.0,4.0,N,Y,Y,N,N,N,0.0
-122.327804576,47.6139302300001,MELROSE AVE AND PIKE ST,2.0,NONE,57,2,40.0,2.0,41.0,4.5,0.5,22.5,SEMI,74.0, ,NONE,Y,N,2.0,2.0,N,N,N,N,N,N,0.0
-122.304386361,47.5596376080001,BEACON ER AVE S AND S COLUMBIAN WAY,1.0,CITY,57,2,37.5,2.0,53.5,3.0,2.0,25.0,PRE,74.0,POOR,CITY,N,N,12.0,24.0,N,N,N,N,N,N,7.0
-122.380092721,47.5622570310001,38TH AVE SW AND FAUNTLEROY WAY SW,1.0,FS,10,1,40.0,4.0,52.5,2.75,1.0,22.5,SEMI,74.0,FAIR,FS,N,N,0.0,0.0,N,N,N,N,N,N,0.0
-122.312464144,47.6529759640001,15TH AVE NE AND NE PACIFIC ST,1.0,CITY,57,0,0.0,4.0,59.5,3.5,2.25,23.75,SEMI,74.0,FAIR,CITY,N,N,4.0,16.0,N,Y,Y,N,N,N,0.0
-122.312464144,47.6529759640001,15TH AVE NE AND NE PACIFIC ST,1.0,CITY,57,0,0.0,4.0,59.5,3.5,2.25,23.75,SEMI,74.0,POOR,CITY,Y,N,4.0,4.0,N,N,N,N,N,N,0.0
-122.314910411,47.5264408890001,14TH AVE S AND S CLOVERDALE ST,1.0,CITY,51,3,41.66666666666666,4.0,75.75,0.0,2.25,23.75,SEMI,74.0,POOR,CITY,N,N,8.0,16.0,N,Y,N,N,N,N,0.0
-122.331604308,47.604661558,4TH AVE AND COLUMBIA ST,1.0,CITY,59,0,0.0,4.0,61.75,8.0,2.0,25.0,PRE,74.0,FAIR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.335035507,47.697771592,COLLEGE WAY N AND N 95TH ST,2.0,CITY,7,0,0.0,3.0,67.33333333333333,0.6666666666666666,1.3333333333333333,23.33333333333333,SEMI,74.0,POOR,CITY,N,N,4.0,8.0,N,N,N,N,N,N,0.0
-122.408129683,47.5759291570001,59TH AVE SW AND SW ADMIRAL WAY,2.0,HALFPED,6,1,50.0,5.0,44.8,6.4,1.2,24.0,SEMI,74.0,GOOD,HALFPED,Y,N,2.0,4.0,N,N,N,N,N,N,2.0
-122.325791646,47.6100518100001,BOREN AVE AND SPRING ST,1.0,HALFPED,11,3,13.333333333333334,4.0,73.25,3.0,1.5,22.5,SEMI,74.0,GOOD,HALFPED,Y,N,4.0,2.0,N,N,N,N,N,N,5.0
-122.320854484,47.6187395420001,BROADWAY AND E DENNY WAY,2.0,CITY,52,5,31.0,2.0,40.5,1.5,1.0,25.0,PRE,74.0,POOR,CITY,N,N,8.0,16.0,N,N,N,N,N,N,0.0
-122.372673777,47.6963441140001,13TH AVE NW AND HOLMAN E RD NW,1.0,NONE,3,1,55.0,1.0,97.0,1.0,0.0,20.0,SEMI,74.0, ,NONE,Y,N,3.0,0.0,N,N,N,N,N,N,0.0
-122.346660408,47.673938429,WHITMAN PL N AND N 63RD ST,2.0,CITY,3,1,35.0,3.0,55.0,5.333333333333333,2.0,26.666666666666668,SEMI,74.0,POOR,CITY,N,N,2.0,4.0,N,N,N,N,N,N,0.0
-122.312110053,47.6568195930001,15TH AVE NE AND NE 41ST ST,1.0,CITY,18,2,0.0,3.0,63.66666666666666,4.666666666666667,0.6666666666666666,23.33333333333333,SEMI,74.0,FAIR,CITY,N,N,4.0,12.0,N,N,N,N,N,N,0.0
-122.376604525,47.535567895,35TH AVE SW AND SW WEBSTER ST,1.0,CITY,47,3,51.0,4.0,63.5,3.25,1.0,22.5,SEMI,74.0,FAIR,CITY,N,N,4.0,8.0,N,N,N,N,N,N,0.0
-122.313168336,47.6597951200001,UNIVERSITY WAY NE AND NE 43RD ST,3.0,CITY,14,3,33.0,4.0,75.5,2.75,1.0,22.5,PRE,74.0,FAIR,CITY,N,N,8.0,16.0,N,N,N,N,N,N,0.0
-122.306779105,47.5896591090001,I90 EB OFF RP AND RAINIER AVE S,1.0,STATE,5,0,0.0,2.0,47.0,1.0,1.0,25.0,SEMI,74.0, ,STATE,N,N,4.0,0.0,N,N,N,N,N,N,0.0
-122.328918348,47.7231655160001,1ST AVE NE AND NE 130TH ST,1.0,CITY,43,3,38.66666666666666,3.0,26.33333333333333,2.0,3.0,26.666666666666668,FULL,74.0,POOR,CITY,N,N,8.0,16.0,N,Y,N,N,N,N,0.0
-122.351480249,47.6254376900001,3RD AVE N AND ROY ST,1.0,CITY,14,1,65.0,4.0,51.75,3.5,1.5,22.5,PRE,74.0,POOR,CITY,N,N,4.0,16.0,N,Y,N,Y,N,Y,1.0
-122.329584139,47.5480509660001,4TH AVE S AND S FRONT ST,1.0,NONE,11,1,60.0,4.0,47.75,0.25,1.0,25.0,FULL,74.0, ,NONE,N,N,8.0,0.0,N,N,N,N,N,N,0.0
-122.334251099,47.6178515170001,BOREN AVE AND FAIRVIEW AVE,1.0,CITY,32,1,30.0,4.0,59.25,1.5,3.0,25.0,SEMI,74.0,POOR,CITY,N,N,4.0,12.0,N,Y,Y,N,N,N,1.0
-122.344582173,47.6956334070001,AURORA AVE N AND N 92ND ST,1.0,NONE,27,2,47.5,4.0,37.5,3.5,1.0,25.0,FULL,74.0, ,NONE,Y,N,6.0,0.0,N,N,N,N,N,N,0.0
-122.329551384,47.55339933,4TH AVE S AND S LUCILE ST,1.0,CITY,44,0,0.0,4.0,65.25,0.0,1.0,27.5,SEMI,74.0,POOR,CITY,N,N,8.0,8.0,N,N,N,N,Y,Y,1.0
-122.324028677,47.6098023710001,MADISON ST AND MINOR AVE,1.0,CITY,37,3,0.0,4.0,64.25,1.5,1.0,22.5,PRE,74.0,GOOD,CITY,N,N,0.0,16.0,N,N,N,N,N,N,0.0
-122.325841164,47.7031602440001,3RD AVE NE AND NE 103RD ST,2.0,CITY,19,0,0.0,3.0,18.666666666666668,2.333333333333333,1.3333333333333333,25.0,SEMI,74.0, ,CITY,N,N,8.0,0.0,N,N,N,Y,N,N,0.0
-122.344793519,47.6147045860001,3RD AVE AND BELL ST,2.0,CITY,18,0,0.0,4.0,50.0,0.75,0.5,22.5,PRE,74.0,POOR,CITY,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.331342546,47.60773005,6TH AVE AND SPRING ST,1.0,STATE,69,0,0.0,4.0,38.5,7.0,3.0,25.0,PRE,74.0, ,STATE,N,N,0.0,8.0,N,N,N,N,N,N,0.0
-122.279153717,47.516888497,M L KING JR ER WAY S AND MERTON WAY S,1.0,CITY,10,1,33.0,1.0,0.0,2.0,0.0,20.0,SEMI,74.0,GOOD,CITY,N,N,3.0,8.0,N,Y,N,N,N,N,0.0
